kingdom_class,common_name,scientific_name,trend,region,threat_level
animalia — gastropoda,Lapidary Snail,Helicigona lapicida,Stable,"Global, Europe",Least Concern
animalia — gastropoda,Moss Chrysalis Snail,Pupilla muscorum,Decreasing,"Global, Europe",Least Concern
animalia — mammalia,Lesser Horseshoe Bat,Rhinolophus hipposideros,Decreasing,Global,Least Concern
animalia — mammalia,Nathusius' Pipistrelle,Pipistrellus nathusii,Unknown,Global,Least Concern
animalia — insecta,Ashton's Cuckoo Bumblebee,Bombus bohemicus,Decreasing,Global,Data Deficient
animalia — reptilia,,Podarcis muralis,Stable,Global,Least Concern
animalia — amphibia,,Bombina variegata,Decreasing,"Global, Europe",Least Concern
animalia — amphibia,Agile Frog,Rana dalmatina,Decreasing,Global,Least Concern
animalia — amphibia,,Ichthyosaura alpestris,Decreasing,"Global, Europe",Least Concern
animalia — insecta,Variable Bluet,Coenagrion pulchellum,Stable,Global,Least Concern
animalia — insecta,Small Bluetail,Ischnura pumilio,Stable,Global,Least Concern
animalia — insecta,Common Clubtail,Gomphus vulgatissimus,Stable,Global,Least Concern
animalia — insecta,Broad-Bodied Chaser,Libellula depressa,Stable,Global,Least Concern
animalia — mammalia,Soprano Pipistrelle,Pipistrellus pygmaeus,Unknown,Global,Least Concern
animalia — mammalia,Lesser Noctule,Nyctalus leisleri,Unknown,Global,Least Concern
animalia — mammalia,Western Barbastelle,Barbastella barbastellus,Decreasing,Global,Near Threatened
animalia — mammalia,Particoloured Bat,Vespertilio murinus,Stable,Global,Least Concern
animalia — mammalia,European Mole,Talpa europaea,Stable,Global,Least Concern
animalia — amphibia,European Tree Frog,Hyla arborea,Decreasing,Global,Least Concern
animalia — gastropoda,,Malacolimax tenellus,Stable,"Global, Europe",Least Concern
animalia — aves,Stock Dove,Columba oenas,Increasing,Global,Least Concern
animalia — amphibia,Natterjack Toad,Epidalea calamita,Decreasing,"Global, Europe",Least Concern
animalia — aves,Jack Snipe,Lymnocryptes minimus,Stable,Global,Least Concern
animalia — amphibia,Common Midwife Toad,Alytes obstetricans,Decreasing,"Global, Europe",Least Concern
animalia — aves,Wood Warbler,Phylloscopus sibilatrix,Decreasing,Global,Least Concern
animalia — aves,Eurasian Blackcap,Sylvia atricapilla,Increasing,Global,Least Concern
