kingdom_class,common_name,scientific_name,trend,region,threat_level
animalia — mammalia,,Molossus molossus,Unknown,Global,Least Concern
animalia — mammalia,Monito del Monte,Dromiciops gliroides,Decreasing,Global,Near Threatened
animalia — mammalia,Chacoan Naked-tailed Armadillo,Cabassous chacoensis,Unknown,Global,Near Threatened
animalia — mammalia,Greater Naked-tailed Armadillo,Cabassous tatouay,Unknown,Global,Least Concern
animalia — mammalia,Southern Three-banded Armadillo,Tolypeutes matacus,Decreasing,Global,Near Threatened
animalia — mammalia,Southern Tamandua,Tamandua tetradactyla,Unknown,Global,Least Concern
animalia — mammalia,Molina's Hog-nosed Skunk,Conepatus chinga,Decreasing,Global,Least Concern
animalia — mammalia,South American Fur Seal,Arctocephalus australis,Increasing,Global,Least Concern
animalia — actinopterygii,Scaleless Dragonfish,Leptostomias gladiator,Unknown,Global,Least Concern
animalia — mammalia,Gray Brocket,Mazama gouazoubira,Decreasing,Global,Least Concern
animalia — mammalia,Southern Pudu,Pudu puda,Decreasing,Global,Near Threatened
animalia — insecta,American Snout,Libytheana carinenta,Unknown,Global,Least Concern
animalia — actinopterygii,Half-naked Hatchetfish,Argyropelecus hemigymnus,Stable,Global,Least Concern
animalia — reptilia,Williams' Side-necked Turtle,Phrynops williamsi,Decreasing,Global,Vulnerable
animalia — actinopterygii,,Gonostoma denudatum,Unknown,Global,Least Concern
animalia — mammalia,Maned Wolf,Chrysocyon brachyurus,Unknown,Global,Near Threatened
animalia — amphibia,Darwin's Frog,Rhinoderma darwinii,Decreasing,Global,Endangered
animalia — actinopterygii,Elongated Bristlemouth Fish,Gonostoma elongatum,Unknown,Global,Least Concern
animalia — reptilia,Chilean Tree Iguana,Liolaemus chiliensis,Stable,Global,Least Concern
animalia — actinopterygii,Banded bellows fish ,Centriscops humerosus,Unknown,Global,Least Concern
animalia — insecta,Wandering Glider,Pantala flavescens,Stable,Global,Least Concern
animalia — aves,Willet,Tringa semipalmata,Stable,Global,Least Concern
animalia — actinopterygii,Lined Sole,Achirus lineatus,Unknown,Global,Least Concern
animalia — mammalia,Jaguarundi,Herpailurus yagouaroundi,Decreasing,Global,Least Concern
animalia — aves,Lineated Woodpecker,Hylatomus lineatus,Increasing,Global,Least Concern
animalia — amphibia,Zapala Frog,Atelognathus praebasalticus,Decreasing,Global,Endangered
animalia — actinopterygii,Dusky Grouper,Epinephelus marginatus,Decreasing,Global,Vulnerable
animalia — aves,Ornate Tinamou,Nothoprocta ornata,Decreasing,Global,Least Concern
animalia — aves,Peach-fronted Parakeet,Eupsittula aurea,Stable,Global,Least Concern
animalia — aves,Violet-crowned Plovercrest,Stephanoxis loddigesii,Unknown,Global,Least Concern
animalia — mammalia,Ocelot,Leopardus pardalis,Decreasing,Global,Least Concern
animalia — aves,Toco Toucan,Ramphastos toco,Decreasing,Global,Least Concern
animalia — mammalia,Commerson's Dolphin,Cephalorhynchus commersonii,Unknown,Global,Least Concern
animalia — aves,Glaucous Macaw,Anodorhynchus glaucus,Unknown,Global,Critically Endangered
animalia — aves,Military Macaw,Ara militaris,Decreasing,Global,Vulnerable
animalia — aves,Andean Flamingo,Phoenicoparrus andinus,Decreasing,Global,Vulnerable
animalia — aves,Southern Rockhopper Penguin,Eudyptes chrysocome,Decreasing,Global,Vulnerable
animalia — actinopterygii,Spotted Barracudina,Arctozenus risso,Unknown,Global,Least Concern
animalia — actinopterygii,Bristlemouth,Sigmops bathyphilus,Unknown,Global,Least Concern
animalia — actinopterygii,Sloane's Viperfish,Chauliodus sloani,Unknown,Global,Least Concern
animalia — aves,Screaming Cowbird,Molothrus rufoaxillaris,Stable,Global,Least Concern
animalia — aves,Red Phalarope,Phalaropus fulicarius,Unknown,Global,Least Concern
animalia — aves,Olrog's Gull,Larus atlanticus,Stable,Global,Near Threatened
animalia — mammalia,Cuvier's Beaked Whale,Ziphius cavirostris,Unknown,Global,Least Concern
animalia — aves,Arctic Tern,Sterna paradisaea,Decreasing,Global,Least Concern
animalia — actinopterygii,Flying Gurnard,Dactylopterus volitans,Unknown,Global,Least Concern
animalia — actinopterygii,Patagonian Rockfish,Sebastes oculatus,Unknown,Global,Least Concern
animalia — insecta,,Progomphus kimminsi,Unknown,Global,Near Threatened
animalia — chondrichthyes,Bignose Fanskate,Sympterygia acuta,Decreasing,Global,Critically Endangered
animalia — actinopterygii,Spothead Lantern Fish,Diaphus metopoclampus,Unknown,Global,Least Concern
animalia — mammalia,White-lipped Peccary,Tayassu pecari,Decreasing,Global,Vulnerable
animalia — amphibia,Common Lesser Toad,Rhinella granulosa,Stable,Global,Least Concern
animalia — actinopterygii,Scaleless Black Dragonfish,Melanostomias bartonbeani,Unknown,Global,Least Concern
animalia — mammalia,Peale's Dolphin,Lagenorhynchus australis,Unknown,Global,Least Concern
animalia — mammalia,Tayra,Eira barbara,Decreasing,Global,Least Concern
animalia — mammalia,South American Coati,Nasua nasua,Decreasing,Global,Least Concern
animalia — actinopterygii,Patagonian Seahorse,Hippocampus patagonicus,Decreasing,Global,Vulnerable
animalia — actinopterygii,Bigscale Deepsea Smelt,Melanolagus bericoides,Unknown,Global,Least Concern
animalia — mammalia,Giant Anteater,Myrmecophaga tridactyla,Decreasing,Global,Vulnerable
animalia — actinopterygii,Rakery Beaconlamp,Lampanyctus macdonaldi,Unknown,Global,Least Concern
