kingdom_class,common_name,scientific_name,trend,region,threat_level
animalia — gastropoda,Moss Chrysalis Snail,Pupilla muscorum,Decreasing,"Global, Europe",Least Concern
animalia — insecta,,Isoriphis marmottani,Unknown,"Global, Europe",Least Concern
animalia — insecta,,Clytus tropicus,Unknown,"Global, Europe",Least Concern
animalia — insecta,,Monochamus sartor,Unknown,"Global, Europe",Least Concern
animalia — insecta,,Rosalia alpina,,Global,Vulnerable
animalia — mammalia,Lesser Horseshoe Bat,Rhinolophus hipposideros,Decreasing,Global,Least Concern
animalia — mammalia,Nathusius' Pipistrelle,Pipistrellus nathusii,Unknown,Global,Least Concern
animalia — insecta,Ashton's Cuckoo Bumblebee,Bombus bohemicus,Decreasing,Global,Data Deficient
animalia — reptilia,,Podarcis muralis,Stable,Global,Least Concern
animalia — insecta,,Lycaena ottomana,Decreasing,Global,Vulnerable
animalia — amphibia,,Bombina variegata,Decreasing,"Global, Europe",Least Concern
animalia — reptilia,,Lacerta viridis,Decreasing,Global,Least Concern
animalia — amphibia,Agile Frog,Rana dalmatina,Decreasing,Global,Least Concern
animalia — insecta,,Cucujus cinnaberinus,Increasing,"Global, Europe",Near Threatened
animalia — amphibia,,Ichthyosaura alpestris,Decreasing,"Global, Europe",Least Concern
animalia — insecta,,Nomada hirtipes,Unknown,"Global, Europe",Least Concern
animalia — insecta,,Nomada verna,Unknown,"Global, Europe",Data Deficient
animalia — insecta,Ornate Bluet,Coenagrion ornatum,Decreasing,Global,Least Concern
animalia — insecta,Variable Bluet,Coenagrion pulchellum,Stable,Global,Least Concern
animalia — insecta,Small Bluetail,Ischnura pumilio,Stable,Global,Least Concern
animalia — insecta,Common Clubtail,Gomphus vulgatissimus,Stable,Global,Least Concern
animalia — insecta,,Lestes macrostigma,Decreasing,Global,Least Concern
animalia — insecta,Broad-Bodied Chaser,Libellula depressa,Stable,Global,Least Concern
animalia — insecta,Southern Darter,Sympetrum meridionale,Stable,Global,Least Concern
animalia — mammalia,Soprano Pipistrelle,Pipistrellus pygmaeus,Unknown,Global,Least Concern
animalia — mammalia,Lesser Noctule,Nyctalus leisleri,Unknown,Global,Least Concern
animalia — mammalia,Western Barbastelle,Barbastella barbastellus,Decreasing,Global,Near Threatened
animalia — mammalia,Particoloured Bat,Vespertilio murinus,Stable,Global,Least Concern
animalia — mammalia,European Mole,Talpa europaea,Stable,Global,Least Concern
animalia — gastropoda,,Bythinella austriaca,Unknown,"Global, Europe",Least Concern
animalia — gastropoda,,Bithynia leachii,Stable,"Global, Europe, Mediterranean",Least Concern
animalia — insecta,,Stenopterus similatus,Unknown,"Global, Europe",Data Deficient
animalia — amphibia,European Tree Frog,Hyla arborea,Decreasing,Global,Least Concern
animalia — insecta,,Phengaris teleius,,Global,Near Threatened
